loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,delinq_amnt,percent_funded
5000,10.65,162.87,24000.0,27.65,0,0,100.0
2500,15.27,59.83,30000.0,1.0,0,0,100.0
2400,15.96,84.33,12252.0,8.72,0,0,100.0
10000,13.49,339.31,49200.0,20.0,0,0,100.0
3000,12.69,67.79,80000.0,17.94,0,0,100.0
5000,7.9,156.46,36000.0,11.2,0,0,100.0
7000,15.96,170.08,47004.0,23.51,0,0,100.0
3000,18.64,109.43,48000.0,5.35,0,0,100.0
5600,21.28,152.39,40000.0,5.55,0,0,100.0
5375,12.69,121.45,15000.0,18.08,0,0,100.0
6500,14.65,153.45,72000.0,16.12,0,0,100.0
12000,12.69,402.54,75000.0,10.78,0,0,100.0
9000,13.49,305.38,30000.0,10.08,0,0,100.0
3000,9.91,96.68,15000.0,12.56,0,0,100.0
10000,10.65,325.74,100000.0,7.06,0,0,100.0
1000,16.29,35.31,28000.0,20.31,0,0,100.0
10000,15.27,347.98,42000.0,18.6,0,0,100.0
3600,6.03,109.57,110000.0,10.52,0,0,100.0
6000,11.71,198.46,84000.0,18.44,2,0,100.0
9200,6.03,280.01,77385.19,9.86,0,0,100.0
20250,15.27,484.63,43370.0,26.53,0,0,100.0
21000,12.42,701.73,105000.0,13.22,0,0,100.0
10000,11.71,330.76,50000.0,11.18,0,0,100.0
10000,11.71,330.76,50000.0,16.01,0,0,100.0
6000,11.71,198.46,76000.0,2.4,0,0,100.0
15000,9.91,483.38,92000.0,29.44,0,0,100.0
15000,14.27,514.64,60000.0,15.22,0,0,100.0
5000,16.77,123.65,50004.0,13.97,3,0,100.0
4000,11.71,132.31,106000.0,5.63,1,0,100.0
8500,11.71,281.15,25000.0,12.19,0,0,100.0
4375,7.51,136.11,17108.0,20.34,0,0,100.0
31825,7.9,995.82,75000.0,14.03,0,0,100.0
10000,15.96,242.97,29120.0,22.83,0,0,100.0
5000,8.9,158.77,24044.0,11.93,0,0,100.0
7000,15.96,245.97,34000.0,6.35,0,0,100.0
12400,10.65,403.91,41000.0,11.8,0,0,100.0
10800,9.91,348.03,55596.0,5.5,0,0,100.0
15000,7.9,469.36,45000.0,8.48,0,0,100.0
6000,12.42,200.5,36852.0,10.62,0,0,100.0
12500,12.69,282.44,27000.0,16.04,0,0,100.0
9600,7.51,298.67,68004.0,6.63,0,0,100.0
12000,7.9,375.49,62300.0,16.7,0,0,100.0
3000,18.25,108.84,65000.0,17.39,0,0,100.0
4400,16.77,156.37,55000.0,20.01,0,0,100.0
6000,6.03,182.62,45600.0,5.34,0,0,100.0
14000,9.91,451.15,80000.0,10.0,0,0,100.0
5000,8.9,158.77,100000.0,16.33,0,0,100.0
10000,10.65,325.74,27000.0,11.47,0,0,100.0
10000,6.03,304.36,60000.0,12.74,0,0,100.0
11000,6.62,337.75,70000.0,10.85,0,0,100.0
15000,9.91,483.38,80000.0,9.12,0,0,100.0
25600,9.91,824.96,110000.0,15.71,0,0,100.0
7000,10.65,228.02,40000.0,7.38,0,0,100.0
12000,15.96,421.65,50000.0,20.88,0,0,100.0
12000,9.91,386.7,46000.0,8.11,0,0,100.0
21000,19.91,555.33,50000.0,21.58,0,0,100.0
16000,19.91,423.11,81000.0,20.52,0,0,100.0
10000,12.42,334.16,39000.0,18.58,0,0,100.0
10000,10.65,325.74,51400.0,19.14,0,0,100.0
7100,16.77,252.33,33000.0,24.0,0,0,100.0
13000,12.69,293.74,30000.0,13.72,0,0,100.0
17500,17.27,223.74,40000.0,19.47,0,0,51.142857142857146
17675,14.65,417.25,50000.0,16.46,0,0,100.0
8000,16.77,284.31,62000.0,21.64,0,0,100.0
10000,10.65,215.69,45996.0,21.73,0,0,100.0
3500,10.65,114.01,55000.0,5.39,0,0,100.0
12500,17.27,223.11,30000.0,13.16,0,0,71.4
16425,14.27,563.53,44544.0,22.71,0,0,100.0
8200,21.28,223.14,75000.0,12.48,0,0,100.0
15000,14.65,517.42,61000.0,11.88,0,0,100.0
20975,17.58,341.63,44000.0,18.79,0,0,64.71990464839094
6400,16.77,227.45,75000.0,20.22,0,0,100.0
3000,13.49,101.8,33600.0,18.11,0,0,100.0
12000,16.77,426.47,50000.0,20.57,0,0,100.0
14400,8.9,457.25,150000.0,14.85,0,0,100.0
12000,14.65,413.94,90000.0,16.56,0,0,100.0
11000,13.49,373.24,48000.0,21.82,0,0,100.0
7250,21.67,197.51,75000.0,24.82,0,0,99.3103448275862
15000,7.9,469.36,52000.0,9.65,0,0,100.0
18000,19.91,475.99,65000.0,6.81,0,0,100.0
35000,17.27,551.84,150000.0,7.51,0,0,63.07142857142857
10000,14.27,343.09,68000.0,15.39,0,0,100.0
